Date,StartTime,EndTime,Title
9/25/2022,6:42 PM,,Rosh Hashanah
9/26/2022,7:36 PM,7:34 PM,Rosh Hashanah 2
9/28/2022,The provided time is an extra early time. For later start time see My Zmanim for dawn fixed minutes. The earlier start time is 5:32 AM,7:24 PM,Fast of Gedalia
9/30/2022,6:32 PM,7:26 PM,Vayelech
10/4/2022,6:24 PM,7:18 PM,Yom Kippur
10/7/2022,6:18 PM,7:12 PM,Ha'azinu
10/9/2022,6:14 PM,,Sukkot
10/10/2022,7:08 PM,7:06 PM,Sukkot 1 [and 2]
10/14/2022,6:05 PM,6:59 PM,Sukkot- Chol Hamoed- Shabbat
10/16/2022,6:01 PM,, Shemini Atzeret
10/17/2022,6:55 PM,6:53 PM,Simchat Torah
10/21/2022,5:52 PM,6:46 PM,Bereishit
10/28/2022,5:40 PM,6:35 PM,Noach
11/4/2022,5:29 PM,6:25 PM,Lech-Lecha
11/11/2022,4:19 PM,5:16 PM,Vayeira
11/18/2022,4:11 PM,5:10 PM,Chayei Sarah
11/25/2022,4:05 PM,5:05 PM,Toldot
12/2/2022,4:01 PM,5:02 PM,Vayeitzei
12/9/2022,3:59 PM,5:01 PM,Vayishlach
12/16/2022,4:00 PM,5:02 PM,Vayeishev
12/23/2022,4:03 PM,5:05 PM,Mikeitz
12/30/2022,4:08 PM,5:11 PM,Vayigash
1/3/2023,The provided time is an extra early time. For later start time see My Zmanim for dawn fixed minutes. The earlier start time is 6:17 AM,5:05 PM,Fast - 10 Tevet
1/6/2023,4:15 PM,5:18 PM,Vayechi
1/13/2023,4:24 PM,5:26 PM,Shemot
1/20/2023,4:34 PM,5:35 PM,Va'eira
1/27/2023,4:44 PM,5:45 PM,Bo
2/3/2023,4:55 PM,5:55 PM,Beshalach
2/10/2023,5:06 PM,6:05 PM,Yitro
2/17/2023,5:17 PM,6:16 PM,Mishpatim
2/24/2023,5:28 PM,6:26 PM,Terumah
3/3/2023,5:39 PM,6:36 PM,Tetzaveh
3/6/2023,The provided time is an extra early time. For later start time see My Zmanim for dawn fixed minutes. The earlier start time is 5:09 AM,6:32 PM,Fast - Taanit Esther
3/10/2023,5:49 PM,6:46 PM,Ki Tisa
3/17/2023,7:00 PM,7:57 PM,Vayak'hel-Pekudei
3/24/2023,7:10 PM,8:07 PM,Vayikra
3/31/2023,7:20 PM,8:17 PM,Tzav
4/5/2023,7:27 PM,,Passover
4/6/2023,8:25 PM,8:27 PM,Pesach Day 2
4/7/2023,7:30 PM,8:28 PM,Shabbat- Chol Hamoed- Pesach
4/11/2023,7:35 PM,, Seventh day Passover
4/12/2023,8:34 PM,8:36 PM,Achron Shel Pesach
4/14/2023,7:39 PM,8:39 PM,Shemini
4/21/2023,7:49 PM,8:50 PM,Tazria-Metzora
4/28/2023,7:59 PM,9:01 PM,Acharei-Kedoshim
5/5/2023,8:09 PM,9:12 PM,Emor
5/12/2023,8:18 PM,9:23 PM,Behar-Bechukotai
5/19/2023,8:27 PM,9:33 PM,Bamidbar
5/25/2023,8:34 PM,,Shavuot
5/26/2023,8:35 PM,9:42 PM,Shavuot Day 2- Shabbat
6/2/2023,8:42 PM,9:50 PM,Naso
6/9/2023,8:48 PM,9:57 PM,Behaalotecha
6/16/2023,8:52 PM,10:00 PM,Shlach
6/23/2023,8:53 PM,10:02 PM,Korach
6/30/2023,8:53 PM,10:01 PM,Chukat-Balak
7/6/2023,The provided time is an extra early time. For later start time see My Zmanim for dawn fixed minutes. The earlier start time is 2:54 AM,9:48 PM,Fast - 17 Tammuz
7/7/2023,8:51 PM,9:57 PM,Pinchas
7/14/2023,8:46 PM,9:51 PM,Matot-Massei
7/21/2023,8:40 PM,9:43 PM,Devarim
7/21/2023,8:56 PM,9:27 PM,Fast - 9 Av
7/28/2023,8:31 PM,9:33 PM,Va'etchanan
8/4/2023,8:22 PM,9:22 PM,Eikev
8/11/2023,8:11 PM,9:09 PM,Re'eh
8/18/2023,7:58 PM,8:56 PM,Shoftim
8/25/2023,7:45 PM,8:42 PM,Ki Teitzei
9/1/2023,7:32 PM,8:27 PM,Ki Tavo
9/8/2023,7:18 PM,8:12 PM,Nitzavim-Vayelech
9/15/2023,7:04 PM,,Rosh Hashanah
9/16/2023,7:57 PM,7:55 PM,Rosh Hashanah 2
9/18/2023,The provided time is an extra early time. For later start time see My Zmanim for dawn fixed minutes. The earlier start time is 5:17 AM,7:46 PM,Fast of Gedalia

